Genre Group,Count
Drama,8731
Comedy,5949
Documentary,5670
Comedy/Drama,2876
Drama/Romance,2590
Comedy/Drama/Romance,2093
Comedy/Romance,1989
Horror,1880
Thriller,1445
Drama/Thriller,1266
Action/Crime/Drama,1252
Crime/Drama/Mystery,1220
Action/Adventure/Animation,1188
Crime/Drama,1119
Reality-TV,1089
Crime/Drama/Thriller,1033
Horror/Thriller,1030
Adventure/Animation/Comedy,959
Romance,847
Action,817
Action/Drama,704
Action/Adventure/Drama,669
Horror/Mystery/Thriller,612
Western,593
Action/Adventure/Comedy,588
Drama/Mystery/Thriller,571
Action/Thriller,548
Comedy/Crime/Drama,543
Comedy/Drama/Family,520
Drama/Horror/Mystery,517
Crime/Documentary,514
Action/Comedy/Crime,492
Family,489
Comedy/Horror,477
Drama/Family,471
Biography/Drama/History,457
Action/Drama/Thriller,450
Action/Crime/Thriller,447
Documentary/Music,439
Biography/Documentary,416
Crime,405
Documentary/History,399
Animation,396
Drama/War,393
Drama/Horror/Thriller,391
Biography/Drama,379
Comedy/Family,343
Comedy/Documentary,331
Documentary/Sport,330
Comedy/Crime,319
Animation/Comedy/Family,319
Crime/Thriller,312
Drama/Western,305
Action/Comedy,303
Action/Comedy/Drama,301
Drama/History,292
Drama/Fantasy/Horror,267
Comedy/Drama/Fantasy,266
Adventure/Animation/Family,263
Action/Adventure/Fantasy,262
Biography/Documentary/History,261
Biography/Crime/Drama,247
Animation/Comedy/Drama,246
Horror/Sci-Fi,243
Mystery/Thriller,237
Drama/Sport,235
Animation/Family,234
Drama/Mystery,229
Action/Adventure/Sci-Fi,226
Horror/Mystery,224
Action/Drama/Romance,224
Adventure/Comedy/Family,223
Adventure/Comedy/Drama,223
Crime/Mystery/Thriller,218
Comedy/Drama/Music,217
Adventure,215
Action/Adventure/Crime,214
Action/Animation/Comedy,211
Crime/Drama/Romance,208
Mystery,205
Sci-Fi,205
Drama/Horror,204
Action/Crime,191
Drama/Romance/Thriller,188
Action/Drama/History,185
Documentary/Short,184
Drama/Music,182
Crime/Drama/Horror,180
Adventure/Drama,177
Biography/Documentary/Music,175
Drama/Short,174
Drama/Mystery/Romance,169
Action/Sci-Fi,163
Drama/History/War,160
Horror/Sci-Fi/Thriller,160
Action/Adventure,156
Adventure/Drama/Family,154
Action/Sci-Fi/Thriller,154
Animation/Comedy,153
Biography/Drama/Music,153
Drama/History/Romance,152
Drama/Fantasy,148
Adventure/Family/Fantasy,147
Drama/Family/Romance,147
Comedy/Fantasy,144
Drama/Fantasy/Romance,142
Drama/Musical/Romance,140
Drama/Sci-Fi,140
Comedy/Family/Fantasy,138
Drama/Music/Romance,138
Action/Horror/Sci-Fi,136
Comedy/Drama/Musical,136
Crime/Drama/Film-Noir,132
Documentary/History/War,130
Biography/Comedy/Drama,129
Documentary/Drama,129
Action/Animation/Drama,129
Comedy/Music,128
Game-Show/Reality-TV,127
Comedy/Fantasy/Romance,127
Music,126
Comedy/Fantasy/Horror,126
Comedy/Family/Romance,124
Action/Adventure/Thriller,123
Biography/Drama/Romance,122
Animation/Comedy/Fantasy,119
Drama/Mystery/Sci-Fi,119
Action/Comedy/Horror,118
Biography/Drama/Sport,118
Comedy/Crime/Mystery,115
Adventure/Family,114
Action/Drama/Fantasy,114
Comedy/Drama/Mystery,113
Action/Drama/War,113
Drama/Romance/War,112
Biography/Crime/Documentary,111
Drama/Fantasy/Mystery,110
Comedy/Musical,110
Action/Adventure/Horror,109
Drama/Sci-Fi/Thriller,109
Crime/Horror/Mystery,107
Biography/Documentary/Drama,106
Biography/Documentary/Sport,105
Adventure/Animation/Drama,105
Comedy/Sci-Fi,103
Comedy/Musical/Romance,102
Crime/Drama/History,101
Action/Horror/Thriller,101
History,100
Musical,99
Sci-Fi/Thriller,98
Crime/Horror/Thriller,98
Drama/Music/Western,97
Comedy/Horror/Sci-Fi,94
Action/Animation/Fantasy,93
Adventure/Comedy,92
Comedy/Sport,92
Adventure/Drama/Fantasy,92
Biography,91
Comedy/Horror/Thriller,91
Comedy/Thriller,91
Animation/Family/Fantasy,91
Action/Drama/Sci-Fi,89
Animation/Short,89
Drama/Musical,88
Comedy/Drama/Horror,88
Comedy/Drama/Sport,87
Adventure/Drama/Romance,87
Family/Fantasy,86
Fantasy,86
Fantasy/Horror,86
Action/Animation/Sci-Fi,86
Action/Drama/Mystery,85
Documentary/Reality-TV,84
Horror/Mystery/Sci-Fi,84
Drama/Horror/Sci-Fi,83
Action/Drama/Horror,80
Comedy/Drama/Thriller,79
Comedy/Crime/Thriller,76
Action/Horror,75
